V;I;P
20.3;0.0;0.0
20.2;0.1;2.0
20.2;0.15;3.0
20.1;0.2;4.0
20.1;0.25;5.0
20.0;0.3;6.0
20.0;0.35;7.0
19.9;0.45;9.0
19.9;0.5;10.0
19.8;0.54;10.7
19.8;0.54;10.7
19.8;0.59;11.7
19.7;0.69;13.6
19.6;0.74;14.5
19.6;0.79;15.5
19.5;0.89;17.4
19.5;0.93;18.1
19.4;1.08;21.0
19.3;1.13;21.8
19.2;1.23;23.6
19.1;1.28;24.4
19.1;1.37;26.2
19.0;1.42;27.0
18.9;1.52;28.7
18.9;1.62;30.6
18.8;1.67;31.4
18.7;1.76;32.9
18.7;1.86;34.8
18.6;1.91;35.5
18.5;2.01;37.2
18.4;2.11;38.8
18.3;2.2;40.3
18.2;2.3;41.9
18.2;2.4;43.7
18.0;2.6;46.8
17.9;2.69;48.2
17.8;2.79;49.7
17.6;2.99;52.6
17.4;3.23;56.2
17.3;3.33;57.6
17.1;3.57;61.0
17.0;3.67;62.4
16.9;3.82;64.6
16.6;4.06;67.4
16.5;4.21;69.5
16.3;4.5;73.4
16.0;4.79;76.6
15.9;4.94;78.5
15.6;5.28;82.4
15.2;5.62;85.4
15.1;5.77;87.1
14.8;6.16;91.2
14.6;6.35;92.7
14.4;6.55;94.3
14.2;6.75;95.8
14.0;6.94;97.2
13.8;7.18;99.1
13.6;7.43;101.0
13.4;7.62;102.1
13.2;7.87;103.9
13.0;8.11;105.4
12.8;8.41;107.6
12.5;8.65;108.1
12.0;9.19;110.3
11.5;9.82;112.9
11.2;10.11;113.2
10.6;10.8;114.5
10.3;11.19;115.3
9.9;11.53;114.1
9.6;11.92;114.4
9.2;12.36;113.7
8.8;12.75;112.2
8.4;13.19;110.8
8.0;13.68;109.4
7.6;14.17;107.7
7.1;14.66;104.1
6.6;15.19;100.3
6.1;15.78;96.3
5.6;16.36;91.6
5.0;17.0;85.0
4.4;17.24;75.9
3.8;17.24;65.5
3.1;17.24;53.4
2.4;17.24;41.4
1.7;17.24;29.3
1.7;17.24;29.3
1.7;17.24;29.3
1.7;17.24;29.3
1.7;17.24;29.3
